date_only,BUY,SELL,long_count,short_count,long_ratio
2024-07-23,137,233,137,233,0.37027027027027026
2024-07-24,54,36,54,36,0.6
2024-07-25,77,1,77,1,0.9871794871794872
2024-07-26,43,109,43,109,0.28289473684210525
2024-07-27,9,48,9,48,0.15789473684210525
2024-07-28,15,1,15,1,0.9375
2024-07-29,18,21,18,21,0.46153846153846156
2024-07-30,6,0,6,0,1.0
2024-07-31,17,26,17,26,0.3953488372093023
2024-08-01,47,10,47,10,0.8245614035087719
2024-08-02,42,21,42,21,0.6666666666666666
2024-08-03,36,1,36,1,0.972972972972973
2024-08-04,60,67,60,67,0.47244094488188976
2024-08-05,41,39,41,39,0.5125
2024-08-06,76,31,76,31,0.7102803738317757
2024-08-07,12,21,12,21,0.36363636363636365
2024-08-08,5,4,5,4,0.5555555555555556
2024-08-09,54,90,54,90,0.375
2024-08-10,87,1,87,1,0.9886363636363636
2024-08-11,16,8,16,8,0.6666666666666666
2024-08-12,39,9,39,9,0.8125
2024-08-13,20,3,20,3,0.8695652173913043
2024-08-14,19,6,19,6,0.76
2024-08-15,12,0,12,0,1.0
2024-08-16,32,3,32,3,0.9142857142857143
2024-08-17,29,1,29,1,0.9666666666666667
2024-08-18,0,15,0,15,0.0
2024-08-19,3,5,3,5,0.375
2024-08-20,5,7,5,7,0.4166666666666667
2024-08-21,56,89,56,89,0.38620689655172413
2024-08-23,0,10,0,10,0.0
2024-08-24,0,7,0,7,0.0
2024-08-25,8,9,8,9,0.47058823529411764
2024-08-26,6,0,6,0,1.0
2024-08-27,49,1,49,1,0.98
2024-08-28,9,0,9,0,1.0
2024-08-29,0,1,0,1,0.0
2024-08-30,4,2,4,2,0.6666666666666666
2024-08-31,11,23,11,23,0.3235294117647059
2024-09-01,7,5,7,5,0.5833333333333334
2024-09-02,2,0,2,0,1.0
2024-09-04,31,3,31,3,0.9117647058823529
2024-09-05,0,1,0,1,0.0
2024-09-06,4,38,4,38,0.09523809523809523
2024-09-08,0,1,0,1,0.0
2024-09-09,2,0,2,0,1.0
2024-09-10,1,2,1,2,0.3333333333333333
2024-09-11,0,1,0,1,0.0
2024-09-14,10,1,10,1,0.9090909090909091
2024-09-18,11,134,11,134,0.07586206896551724
2024-09-19,19,0,19,0,1.0
2024-09-20,3,13,3,13,0.1875
2024-09-21,0,23,0,23,0.0
2024-09-22,3,0,3,0,1.0
2024-09-23,1,1,1,1,0.5
2024-09-24,9,1,9,1,0.9
2024-09-25,6,3,6,3,0.6666666666666666
2024-09-26,0,8,0,8,0.0
2024-09-27,0,56,0,56,0.0
2024-09-28,0,4,0,4,0.0
2024-09-30,10,96,10,96,0.09433962264150944
2024-10-01,4,0,4,0,1.0
2024-10-02,4,0,4,0,1.0
2024-10-03,6,3,6,3,0.6666666666666666
2024-10-04,0,1,0,1,0.0
2024-10-05,9,28,9,28,0.24324324324324326
2024-10-06,6,16,6,16,0.2727272727272727
2024-10-07,0,21,0,21,0.0
2024-10-08,34,2,34,2,0.9444444444444444
2024-10-09,11,3,11,3,0.7857142857142857
2024-10-10,16,0,16,0,1.0
2024-10-11,0,26,0,26,0.0
2024-10-12,7,3,7,3,0.7
2024-10-13,10,0,10,0,1.0
2024-10-14,0,5,0,5,0.0
2024-10-15,3,4,3,4,0.42857142857142855
2024-10-16,8,3,8,3,0.7272727272727273
